word1,word2,count
où,j,9
tout,près,9
le,dîner,9
et,dont,9
ce,même,9
le,cours,9
le,bois,9
l,épaule,9
meaulnes,était,9
lorsque,nous,9
des,cris,9
du,petit,9
tout,bas,9
à,nous,9
l,été,9
la,vieille,9
avec,de,9
pour,moi,9
et,pourtant,9
lieu,de,9
un,ton,9
le,pays,9
à,deux,9
meaulnes,s,9
tout,était,9
grands,élèves,9
de,loin,9
elle,lui,9
était,bien,9
de,toute,9
les,branches,9
un,d,9
elle,a,9
non,pas,9
bord,de,9
avec,moi,9
comme,la,9
une,main,9
bien,vite,9
au,premier,9
dans,des,9
est-ce,que,9
sur,ce,9
le,silence,9
l,endroit,9
de,ma,9
la,longue,9
pas,un,9
autour,du,8
de,jeune,8
de,partir,8
comme,à,8
de,vierzon,8
tant,d,8
la,roulotte,8
avant,la,8
qu,en,8
de,leur,8
gens,de,8
de,septembre,8
m,étais,8
d,enfants,8
avant,de,8
se,trouva,8
qui,sont,8
pour,s,8
son,fils,8
nous,l,8
et,n,8
au,monde,8
la,figure,8
la,boutique,8
le,pied,8
son,bras,8
voiture,de,8
les,gens,8
meaulnes,avec,8
où,je,8
me,suis,8
au,mois,8
la,boue,8
travers,la,8
elle,n,8
son,chapeau,8
s,assit,8
le,pas,8
ne,suis,8
n,avoir,8
main,en,8
meaulnes,il,8
à,faire,8
milieu,du,8
plein,d,8
pour,y,8
à,se,8
et,ne,8
les,arbres,8
la,terre,8
de,classe,8
la,haie,8
les,fenêtres,8
de,voir,8
le,seul,8
long,voyage,8
ce,grand,8
pas,du,8
pas,dans,8
en,ce,8
après,un,8
dire,et,8
qui,le,8
dans,ses,8
vous,êtes,8
j,eus,8
lui,et,8
par,terre,8
car,il,8
de,côté,8
il,la,8
matin,de,8
avec,les,8
vous,n,8
à,s,8
le,reste,8
de,les,8
ils,ne,8
avec,lui,8
qui,l,8
une,longue,8
d,août,8
travers,les,8
les,rideaux,8
à,m,8
jeunes,filles,8
la,barrière,8
il,aperçut,8
meaulnes,de,8
n,avaient,8
ses,cheveux,8
nous,allions,8
du,poêle,8
son,père,8
quand,il,8
se,leva,8
seuil,de,8
côté,du,8
la,sortie,8
place,de,8
tout,au,8
frantz,de,8
de,deux,8
une,femme,8
aux,sablonnières,8
en,train,8
de,rire,8
de,grandes,8
à,ces,8
la,voix,8
chez,nous,8
ce,soir,7
comme,dans,7
dont,il,7
son,frère,7
vers,les,7
terre,et,7
avant,le,7
la,partie,7
ne,nous,7
jour,de,7
pour,ne,7
faire,la,7
où,se,7
loin,sur,7
de,cet,7
les,gamins,7
comme,quelqu,7
lorsque,soudain,7
le,beau,7
n,importe,7
lisière,du,7
cette,heure,7
le,secret,7
deux,mains,7
n,étais,7
la,pelouse,7
je,sais,7
pour,une,7
suis,pas,7
par,instants,7
pas,une,7
en,route,7
moi,nous,7
comme,par,7
en,avant,7
fois,je,7
de,prendre,7
lui,dire,7
commençait,à,7
et,du,7
au,soir,7
sa,fille,7
la,cheminée,7
haut,de,7
de,silence,7
dès,que,7
moi,aussi,7
meaulnes,est,7
à,mon,7
à,tout,7
ne,s,7
la,trace,7
songer,à,7
mère,de,7
long,en,7
était,si,7
s,agissait,7
près,du,7
au,vent,7
cour,d,7
